shoe_name,goat_price,stockx_low_price,stockx_high_price,low_profit,high_profit
Yeezy Slides 'Earth Brown',175,182,260,7,85
Air Jordan 11 Low Retro IE 'Black Cement',145,132,200,-13,55
Air Jordan 13 Retro GS 'Lucky Green',120,120,136,0,16
Air Jordan 1 Mid GS 'Black Racer Blue',119,130,100,11,-19
Slam Jam x Dunk High 'White Platinum',295,288,390,-7,95
Air Jordan 11 Retro Low 'Cherry' 2016,364,260,450,-104,86
Air Jordan 7 Retro 'Greater China',170,155,205,-15,35
Yeezy Boost 350 V2 Kids 'Black Non-Reflective',365,357,550,-8,185
Yeezy Boost 350 'Turtle Dove',1595,1450,1690,-145,95
Yeezy Boost 380 'Mist Reflective',293,277,324,-16,31
Blazer Mid '77 Vintage 'Racer Blue',106,74,105,-32,-1
Air Jordan 13 Retro 'He Got Game' 2018,300,289,358,-11,58
Air Jordan 3 Retro SE 'Animal Instinct 2.0',222,167,235,-55,13
Off-White x Air Max 97 'Menta',835,640,1200,-195,365
Air Max 720 'Bubble Pack',94,100,95,6,1
Air Foamposite One 'Cracked Lava',119,106,200,-13,81
Air Jordan 1 Low GS 'Pine Green',190,194,197,4,7
Air Jordan 6 Retro 'Washed Denim',137,135,167,-2,30
Air Jordan 6 Retro 'Infrared' 2014,200,295,270,95,70
Air Jordan 1 Mid GS 'Chicago',130,136,147,6,17
Yeezy Season 7 Desert Boot 'Oil',258,290,350,32,92
Air Jordan 4 Retro 'Motorsports Alternate',230,179,160,-51,-70
Yeezy Boost 700 MNVN 'Phosphor',375,304,450,-71,75
Air Jordan 3 Retro PS 'Laser Orange',95,80,85,-15,-10
Air Foamposite One 'Black',280,169,308,-111,28
Union LA x Air Jordan 4 Retro 'Off Noir',549,-1,-1,0,0
Air Jordan 1 Retro High OG 'Dark Mocha',324,-1,-1,0,0
Wmns Air Jordan 1 Retro High OG 'Lucky Green',230,-1,-1,0,0
Air Jordan 1 Retro High OG 'Royal Toe',220,-1,-1,0,0
Air Jordan 1 Retro High OG 'Obsidian',230,-1,-1,0,0
Off-White x Wmns Air Jordan 4 SP 'Sail',1000,-1,-1,0,0
Air Jordan 1 Retro High OG 'Court Purple 2.0',185,-1,-1,0,0
Air Jordan 1 Mid 'Chicago Black Toe',173,-1,-1,0,0
Off-White x Air Jordan 5 Retro SP 'Sail',700,-1,-1,0,0
Air Foamposite One Retro 'Anthracite' 2020,255,-1,-1,0,0
Yeezy Boost 350 V2 'Black Non-Reflective',400,-1,-1,0,0
Air Jordan 1 Retro High OG 'Bloodline',150,-1,-1,0,0
Yeezy Boost 350 V2 'Zebra',350,-1,-1,0,0
Yeezy Boost 380 'Pepper Non-Reflective',185,-1,-1,0,0
Travis Scott x Air Jordan 1 Retro High OG 'Mocha',1221,-1,-1,0,0
Yeezy Quantum 'Teal Blue',200,-1,-1,0,0
Yeezy Boost 350 V2 'Cinder Non-Reflective',327,-1,-1,0,0
Supreme x Air Max Plus TN 'Mean Green',250,-1,-1,0,0
Off-White x Air Jordan 5 Retro SP 'Muslin',435,-1,-1,0,0
Air Jordan 4 Retro OG 'Bred' 2019,280,-1,-1,0,0
Air Jordan 1 Retro High OG 'Smoke Grey',225,-1,-1,0,0
Air Jordan 4 Retro 'Purple Metallic',299,-1,-1,0,0
Supreme x Air Max Plus TN 'University Red',235,-1,-1,0,0
Air Max 97 'Halloween Slime',236,-1,-1,0,0
Union LA x Air Jordan 4 Retro 'Guava Ice',888,-1,-1,0,0
Wmns Air Jordan 1 Mid 'Sisterhood',165,-1,-1,0,0
Air Jordan 11 Retro 'Bred' 2019,295,-1,-1,0,0
Wmns Air Jordan 1 Retro High OG 'Blue Chill',500,-1,-1,0,0
Air Force 1 '07 'White',87,-1,-1,0,0
Air Jordan 1 Retro High OG 'Turbo Green',200,-1,-1,0,0
Dior x Air Jordan 1 High,8082,-1,-1,0,0
Air Jordan 1 Retro High OG 'Shattered Backboar...,220,-1,-1,0,0
Air Jordan 1 Retro High OG 'Pine Green 2.0',230,-1,-1,0,0
Air Jordan 6 Retro 'Infrared' 2019,191,-1,-1,0,0
Air Jordan 4 Retro 'Black Cat' 2020,398,-1,-1,0,0
Air Jordan 1 Retro High OG 'Bred Toe',310,-1,-1,0,0
Yeezy Boost 350 V2 'Cream White / Triple White',345,-1,-1,0,0
Air Jordan 1 Retro High OG 'Fearless',321,-1,-1,0,0
Air Jordan 4 Retro 'Cool Grey' 2019,148,-1,-1,0,0
Yeezy Boost 700 'Wave Runner',540,-1,-1,0,0
Air Jordan 1 Mid 'Pine Green',85,-1,-1,0,0
